Year,wcTax,assessmentYear,pctIncrease,RollingAvg,wcTaxRank
1987,0.59,no,,,23.0
1988,0.72,no,0.22,,8.0
1989,0.79,no,0.097,,3.0
1990,0.88,no,0.114,,1.0
1991,0.88,no,0.0,0.772,1.0
1992,0.66,yes,-0.25,0.786,10.0
1993,0.76,no,0.152,0.794,4.0
1994,0.76,no,0.0,0.788,4.0
1995,0.63,no,-0.171,0.738,13.0
1996,0.63,no,0.0,0.688,13.0
1997,0.63,no,0.0,0.682,13.0
1998,0.63,no,0.0,0.656,13.0
1999,0.73,no,0.159,0.65,6.0
2000,0.56,yes,-0.227,0.637,25.0
2001,0.56,no,0.0,0.624,25.0
2002,0.56,no,0.0,0.61,25.0
2003,0.6,no,0.071,0.605,19.0
2004,0.6,no,0.0,0.58,19.0
2005,0.6,no,0.0,0.588,19.0
2006,0.63,no,0.05,0.602,12.0
2007,0.68,no,0.069,0.625,9.0
2008,0.53,yes,-0.212,0.611,28.0
2009,0.53,no,0.0,0.597,28.0
2010,0.53,no,0.0,0.583,28.0
2011,0.53,no,0.0,0.563,28.0
2012,0.53,no,0.0,0.534,28.0
2013,0.53,no,0.0,0.534,28.0
2014,0.58,no,0.082,0.543,24.0
2015,0.61,no,0.063,0.559,18.0
2016,0.6,yes,-0.023,0.572,22.0
2017,0.62,no,0.024,0.588,17.0
2018,0.65,no,0.064,0.612,11.0
2019,0.72,no,0.101,0.641,7.0
